id,rent,address,educationIndex
17189997,460.0,"138 Birdwood Avenue SEBASTOPOL,VIC 3356",3.4331616026468996
17189817,750.0,"45 Bishop St KINGSVILLE,VIC 3012",3.585086053407028
17189475,220.0,"2 Sarros Street ALTONA,VIC 3018",3.565035369586469
16422290,450.0,"3 Ireland Street SMYTHESDALE,VIC 3351",1.395089433794715
15530926,280.0,"2/4 John Street WENDOUREE,VIC 3355",3.5249959172566716
17188295,420.0,"4/29 East Street HADFIELD,VIC 3046",3.600667728765269
13837077,390.0,"23 Pinnacle Crescent BROOKFIELD,VIC 3338",3.576194992135699
16847360,601.0202088452088,"71 Chambers Rd ASHBOURNE,VIC 3442",1.1999269258532048
17187626,650.0,"535 Elgar Road MONT ALBERT NORTH,VIC 3129",3.7518505414930714
17187456,600.0,"29 Shearwater Place MERNDA,VIC 3754",3.58401423680172
16689377,510.0,"32 Castleton Street WODONGA,VIC 3690",3.3295686059819287
17186755,590.0,"5 Caitlin Street LARA,VIC 3212",3.3569331903245905
17186428,330.0,"77 Burns Street MARYBOROUGH,VIC 3465",2.1881695572784317
17185810,530.0,"23 Rutland Street NIDDRIE,VIC 3042",3.4301007140021875
17185335,400.0,"6 Seymour Crescent SOLDIERS HILL,VIC 3350",3.533146315547076
16999212,1045.0,"14 Hooper Grove MOUNT MARTHA,VIC 3934",2.4611903070873726
17001476,601.0202088452088,"5A Church Street SOUTH MELBOURNE,VIC 3205",3.7873257448375126
17184013,470.0,"15 Dante Crescent BONSHAW,VIC 3352",3.3856137271569535
17183781,520.0,"4 Solar Court TARNEIT,VIC 3029",3.5527864874489152
17182951,800.0,"17 Brindabella Chase SANCTUARY LAKES,VIC 3030",3.332986433727147
17182403,485.0,"2 Morses Court Tawonga South TAWONGA SOUTH,VIC 3698",1.3505083906942612
17181897,1200.0,"148 Johnston Street FITZROY,VIC 3065",3.6914213846475703
17180885,440.0,"7 Aspen Street WINTER VALLEY,VIC 3358",3.28337407827396
17180811,350.0,"56 Maple Avenue WENDOUREE,VIC 3355",3.5580586536746086
17179780,440.0,"62 Alfredton Drive ALFREDTON,VIC 3350",3.4318866271150537
17179404,375.0,"5 Violet Grove WENDOUREE,VIC 3355",3.561546251876198
16611315,575.0,"5 Summit Court LALOR,VIC 3075",3.5822533848183897
17178373,440.0,"53 Connor Street BACCHUS MARSH,VIC 3340",3.3601883827514056
17178325,700.0,"3/26 Wyalong Street ALBION,VIC 3020",3.561332137446124
17178284,440.0,"26 Semmens Avenue CRESWICK,VIC 3363",2.11929274053212
17177122,600.0,"42 Woolybush Drive TARNEIT,VIC 3029",3.493205109672143
15759293,460.0,"112 Beacon Point Road CLIFTON SPRINGS,VIC 3222",3.2492186290233493
17176952,675.0,"61 Tarrengower Street YARRAVILLE,VIC 3013",3.5021740373817174
17176892,500.0,"79 Dorset Drive ALFREDTON,VIC 3350",3.422655305599519
17176535,795.0,"633 Nepean Highway BRIGHTON EAST,VIC 3187",3.6153710027228234
17175720,430.0,"91 Presentation Boulevard WINTER VALLEY,VIC 3358",3.1736147056627395
15585610,440.0,"41 Gallery Avenue HARKNESS,VIC 3337",3.4922048650937834
17173218,400.0,"33 Vista Drive MELTON,VIC 3337",3.528623089375661
17173102,680.0,"160 Shell Road OCEAN GROVE,VIC 3226",1.9019220748207828
17172620,480.0,"1 Gibson Street LUCAS,VIC 3350",3.3267346586061297
16289918,620.0,"72 Grices Road BERWICK,VIC 3806",3.464897768343466
17171071,440.0,"30 Boronia Street WARRAGUL,VIC 3820",3.4011992306357164
17170973,460.0,"56 Beartooth Drive WINTER VALLEY,VIC 3358",3.272116897871062
17170848,600.0,"159 Buckley Street SEDDON,VIC 3011",3.5988358100724755
17169632,825.0,"430 Scoresby Road FERNTREE GULLY,VIC 3156",3.6669080873026507
17168235,750.0,"1 Appleblossom Court VIEWBANK,VIC 3084",3.3428785904408547
17168199,880.0,"14 John William Drive MOUNT MARTHA,VIC 3934",3.4175805218041844
17167622,640.0,"56 Dell Boulevard FYANSFORD,VIC 3218",3.303948643015463
13850697,400.0,"4 Troups Road ROCKBANK,VIC 3335",3.1630288609918535
14009825,400.0,"1/9 Casuarina Court MELTON WEST,VIC 3337",3.4266460195922313
16628860,585.0,"16 Norma Court AVONDALE HEIGHTS,VIC 3034",3.372104175771822
17163883,520.0,"26 Acland Street CRAIGIEBURN,VIC 3064",3.3868010483885307
17163813,580.0,"46 Linden Street ALTONA MEADOWS,VIC 3028",3.3829350567074177
17163496,700.0,"13 Beleura Avenue VERMONT,VIC 3133",3.483795524486618
17162811,800.0,"2 Meaden Street ASHBURTON,VIC 3147",3.6136242206292284
16581478,460.0,"5 Crowlands Circuit EYNESBURY,VIC 3338",1.1324738446879543
14837189,595.0,"1/2 Hawthorn Street YARRAVILLE,VIC 3013",3.5359655818733833
17160833,380.0,"16 Bittern Street MELTON,VIC 3337",3.5976769925646934
16755855,690.0,"22. Vine Street MOONEE PONDS,VIC 3039",3.6484891282573795
17158747,460.0,"15 Tarnagulla Street EYNESBURY,VIC 3338",1.1648171542768848
17157442,360.0,"15 Hyacinth Grove WENDOUREE,VIC 3355",3.596112300015284
17155254,400.0,"5 Cuthberts Road ALFREDTON,VIC 3350",3.5812570149028473
17153492,630.0,"7 Aitken Court FERNTREE GULLY,VIC 3156",3.653334421436967
17153376,450.0,"425 Sandmount Road KATUNGA,VIC 3640",1.317253436509605
17151514,460.0,"22 Woodstock Drive EYNESBURY,VIC 3338",1.1624051971452756
17150988,460.0,"144 Shortridge Drive LUCAS,VIC 3350",3.2531095422315923
17146610,430.0,"20 Cassowary Way WINTER VALLEY,VIC 3358",3.2707453250718608
9673947,550.0,"64 Sackville St COLLINGWOOD,VIC 3066",3.6304162637395274
17145765,585.0,"418 Larter Street GOLDEN POINT,VIC 3350",3.3881356719615376
17145468,600.0,"4 Arran Street SEDDON,VIC 3011",3.579289217033954
17141998,150.0,"44 Oban Street SOUTH YARRA,VIC 3141",3.7049879461033335
17141888,560.0,"18 Dalyston Street GROVEDALE,VIC 3216",3.487859523795624
17139356,710.0,"33 Agg Street NEWPORT,VIC 3015",3.5925696371172657
14324029,520.0,"47 Hedge Street ARMSTRONG CREEK,VIC 3217",3.060100342146919
17130853,550.0,"1/9 Maidie Street HIGHTON,VIC 3216",3.537376258056751
17125476,700.0,"66 Murray Street RYE,VIC 3941",1.1298230347019538
17122971,350.0,"8 Hitchcock Street BREAKWATER,VIC 3219",3.44428592170368
17121992,380.0,"3A Hodges Court BREAKWATER,VIC 3219",3.425746435406211
17121359,435.0,"11 Masters Drive WINTER VALLEY,VIC 3358",3.2339147566193036
17120841,650.0,"15 Homestead Road BERWICK,VIC 3806",3.519158460935124
14220071,850.0,"62 Eastern Beach Road GEELONG,VIC 3220",3.5351373472962777
16076465,600.0,"33 Kandra Street DANDENONG NORTH,VIC 3175",3.517776845379119
17114465,310.0,"5 Eyckens Road LUCAS,VIC 3350",2.6763822239233663
17112822,650.0,"6 Dawson Avenue FOOTSCRAY,VIC 3011",3.529999041096108
16032104,410.0,"31 Craddock Street NORTH GEELONG,VIC 3215",3.568451563572564
17103707,495.0,"16 The Glen DRYSDALE,VIC 3222",3.413478165846036
16588704,450.0,"43 Walters Way ALFREDTON,VIC 3350",3.3192113466374877
17091742,750.0,"25 Gaffney Street COBURG,VIC 3058",3.6524945910331064
17085357,800.0,"7 Benbow Street YARRAVILLE,VIC 3013",3.491555007654957
15651424,1000.0,"106 BREAKNECK YARRA GLEN,VIC 3775",0.9130271037095052
17074949,601.0202088452088," FAWKNER,VIC 3060",3.4454650307763313
17070908,700.0,"46 Scaffidi Way WOLLERT,VIC 3750",3.3349939969953075
17063968,460.0,"49 Sharp Street NEWTOWN,VIC 3220",3.65805136511729
17037193,950.0,"3 Marmara ELSTERNWICK,VIC 3185",3.627000011628196
17028232,690.0,"81 Bent Street MOONEE PONDS,VIC 3039",3.5388624117424694
17023011,700.0,"6 Rodmar Court SORRENTO,VIC 3943",2.0095947106051044
16999771,450.0,"16 Lovicks Road WEIR VIEWS,VIC 3338",3.330054694011464
16984075,601.0202088452088,"892 Hampton st BRIGHTON,VIC 3186",3.6947222514365174
16897934,1100.0,"131 George Street FITZROY,VIC 3065",3.6850085436520947
16889460,420.0,"27 Westmoreland Road SUNSHINE NORTH,VIC 3020",3.662160849053027
16867383,700.0,"15 First Avenue MURRUMBEENA,VIC 3163",3.5128481160793905
16860022,580.0,"230 Great Ocean Road ANGLESEA,VIC 3230",1.3244172002223915
15822355,525.0," GLENROY,VIC 3046",3.519546604584746
16524925,152.0," HILLSIDE,VIC 3037",3.5159872981000095
12004802,220.0,"84 Toorak Road West SOUTH YARRA,VIC 3141",3.784381563416231
16380128,150.0,"8 Levien Lane FOOTSCRAY,VIC 3011",3.4691863556355713
16359331,601.0202088452088,"9 Lansdowne Street BLAIRGOWRIE,VIC 3942",1.1259031966602615
15898659,720.0,"11 Sunset Drive SUNSET STRIP,VIC 3922",2.490167860786448
15157879,601.0202088452088,"2 Maurice Avenue MALLACOOTA,VIC 3892",0.7164638468102613
17207425,650.0,"1/5 Blanche Court DONCASTER EAST,VIC 3109",3.4750137525030027
17207372,600.0,"65 Harold Street BULLEEN,VIC 3105",3.6137246557649076
17207133,650.0,"36 Finlayson Street DONCASTER,VIC 3108",3.6164511005978426
16095576,601.0202088452088,"4/18 Balmoral Street ALTONA MEADOWS,VIC 3028",3.361053634757785
16079556,650.0,"2 The Breezewater POINT COOK,VIC 3030",3.248041499206169
17204936,900.0,"83 Ferndale Road SUNSHINE NORTH,VIC 3020",3.66486423739203
17204842,795.0,"111 Harold Street MIDDLE PARK,VIC 3206",3.6687527811417335
17204387,1100.0,"15-16 Dirlton Crescent PARK ORCHARDS,VIC 3114",3.4418509013974043
17203615,900.0,"56 Lambert Street RICHMOND,VIC 3121",3.7588482247552304
17203421,530.0,"31 Backwater Ct KIRWANS BRIDGE,VIC 3608",1.06991367539133
17202850,550.0,"26 Cabane Cct MOUNT DUNEED,VIC 3217",3.242924230485981
17202592,760.0,"14 Capulet Street MOONEE PONDS,VIC 3039",3.5953148607129175
17157255,950.0,"41 William Road BLAIRGOWRIE,VIC 3942",1.754960428646214
17198499,600.0,"31 Bayview Walk THORNHILL PARK,VIC 3335",2.803449118147353
17196669,601.0202088452088,"9 Pamela Court WARRANDYTE,VIC 3113",3.2359377305415133
17196348,550.0,"13 Roberts Street SHEPPARTON,VIC 3630",3.5943509456976925
17196019,285.0,"1 Cooper Street OUYEN,VIC 3490",0.7091490758791066
16647624,575.0,"3/307-311 Eastbourne Road CAPEL SOUND,VIC 3940",3.4981001945852785
17194743,440.0,"8 Lime Cres LARA,VIC 3212",3.4884563486078095
16326589,470.0,"2/89 Saltley Street SOUTH KINGSVILLE,VIC 3015",3.479990674529697
16804342,510.0,"39 Courtney Drive SUNBURY,VIC 3429",3.2737319897635153
15928830,420.0,"3/106 Anderson Road SUNBURY,VIC 3429",3.424765401868789
17192403,470.0,"21 Cubbyhouse Road WYNDHAM VALE,VIC 3024",3.0705326623690836
17192394,515.0,"99 Bowen Street ECHUCA,VIC 3564",3.252100209932428
17190533,510.0,"33 Vogue Drive WYNDHAM VALE,VIC 3024",3.451093497762357
17186868,550.0,"26 Ernest Crescent NARRE WARREN SOUTH,VIC 3805",3.5848307122698957
17186766,570.0,"23 Egremont Avenue TARNEIT,VIC 3029",3.3729425586615163
17186724,1200.0,"337A Neerim Road CARNEGIE,VIC 3163",3.560071876236515
