,id,rent,suburb_encoded,bedroom,bathroom,parking,propertyType_Apartment,propertyType_Block of Units,propertyType_Duplex,propertyType_House,propertyType_Semi-Detached,propertyType_Terrace,propertyType_Townhouse,propertyType_Villa,land,under 20,20-39,40-59,60+,Owner,Renter,Family,Single,propertyFeatures_encoded,doc2vec_embedding_1,doc2vec_embedding_2,doc2vec_embedding_3,doc2vec_embedding_4,doc2vec_embedding_5,doc2vec_embedding_6,doc2vec_embedding_7,doc2vec_embedding_8,doc2vec_embedding_9,doc2vec_embedding_10,educationIndex,transportIndex,lifeIndex
3551,8642311,290.0,493.6363636363636,1.0,1.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,31,37,24,8,52,48,57,43,3.019934296440768,1.3309207,-0.16034985,0.013237715,1.2551509,0.65772,-0.18013921,0.5532955,0.36243114,0.036644578,0.24507679,3.361430072284773,3.265103573090944,3.433094682370495
3552,17198773,570.0,634.0960359228575,1.0,1.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,4,85,8,3,29,71,16,84,1.7115507734123607,-0.09811914,0.37802517,-0.02263838,-0.10144046,-0.0051439255,-0.037265837,0.8419676,-0.16895854,-0.7539895,0.10747968,3.7675197372695135,3.838034596182892,3.72277867468678
3553,17198772,550.0,634.0960359228575,1.0,1.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,4,85,8,3,29,71,16,84,1.7115507734123607,0.13932168,0.41130066,0.41777998,-0.34917203,0.1349283,-0.5223572,0.3684202,0.25150123,-0.88326347,0.41258395,3.757401299256416,3.832855099680288,3.7252756136114034
3554,17198716,650.0,634.0960359228575,2.0,1.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,10,59,23,8,28,72,38,62,0.7036178803175737,0.31750917,0.21513617,0.035168946,0.10850641,0.18980338,-0.257749,-0.19164392,-0.04297629,-0.08800237,0.6524891,3.793274501334572,3.28688013171132,3.433816310800681
3555,17198695,550.0,571.5837543509418,2.0,2.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,22,39,26,13,64,36,46,54,1.0159762358328221,-0.78851604,0.22879195,-0.23512149,0.83037233,0.48651683,-0.3238419,0.07915869,-0.33091047,0.3612206,-1.19909,3.406151322471092,3.273390187721854,3.4332659358754554
3556,9540753,315.0,587.2958768427519,2.0,1.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,8,73,16,3,26,74,45,55,0.1523822505339078,0.64090455,-0.3136909,-0.15413272,-0.55365825,-0.143689,0.22061846,0.0383009,0.25296065,0.25738698,-0.1685054,3.7901819485948978,3.8284562773730455,2.8492563890090965
3557,8435383,300.0,560.2283597176003,1.0,1.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,3,70,20,6,20,80,42,58,0.1523822505339078,0.6254655,-0.6150409,0.06958985,0.16211262,-0.50581616,-0.21068718,-0.23343208,-0.27158672,0.38739783,-0.15836379,3.6457273065859495,3.836555428175778,3.0149016415124166
3558,17198216,215.0,626.5660960367483,1.0,1.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,25,36,28,11,56,44,46,54,0.49037624686806064,-0.04550612,0.7349257,0.2827087,-0.5178133,-0.1212511,0.07156199,0.5559741,-0.39114842,0.117314845,-0.24149671,3.6631394756684648,3.2825860280228363,3.4332659358754554
3559,17198039,675.0,705.1831576921938,2.0,1.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,13,50,27,10,42,58,48,52,1.309651494191579,2.1429312,0.69762033,-0.42598215,-0.3176408,0.37632716,-0.919382,0.10586941,-0.531392,-0.016267955,0.058830217,3.726702101764245,3.2996677564031267,3.4344032818141046
3560,17197900,680.0,634.0960359228575,2.0,2.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,3,89,6,2,22,78,16,84,3.0084332764979376,-0.13443547,-0.70646703,0.19361383,-0.22922546,0.7206099,-0.45273283,-0.18109325,-0.7651335,-0.08150786,0.15110068,3.779240939239608,4.744320743977204,3.8253542825754256
3561,17197590,601.0202088452088,634.0960359228575,1.0,1.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,7,59,28,6,28,72,39,61,1.9152679763028808,0.045039058,0.6490953,0.5330617,-0.46325436,0.13915278,-0.54399395,0.47157812,-0.80265,0.61825174,-0.15351515,3.7533626507792777,3.267631485125295,3.433852906888879
3562,17197260,715.0,685.0360898472708,2.0,1.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,8,63,21,8,40,60,45,55,2.058019750291163,0.8496913,-0.3725797,0.10796696,0.21626872,0.66393757,-0.116728544,0.2808536,0.6398505,-0.6820833,-0.17697692,3.9161621373347857,3.2920203368207788,3.433852906888879
3563,8439255,550.0,504.1003368140868,2.0,1.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,8,73,8,11,13,87,18,82,0.1523822505339078,1.1189976,-0.122532845,-0.11462432,-0.5529189,-0.31796396,0.08476764,-0.21652928,-0.25150254,0.036022842,-0.22579879,3.536520143896925,3.261361093832523,3.433816310800681
3564,8532494,365.0,524.2786494958908,1.0,1.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,14,69,13,4,27,73,37,63,0.1523822505339078,1.6398814,0.030699968,-0.091097474,0.25229222,-0.7924113,-0.5759629,0.74117273,0.13885364,0.20063236,0.088581905,3.538092256969055,3.2954052148391915,3.433852906888879
3565,17196613,680.0,634.0960359228575,1.0,1.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,6,78,14,3,20,80,34,66,4.083532808654458,-0.3317302,-0.21073711,-1.0883964,0.33980405,-0.31963223,-0.26802588,0.08225331,0.41380462,-0.43362862,-0.37741148,3.807460021450981,3.827710057956645,3.667904200485772
3566,17196531,800.0,634.0960359228575,2.0,2.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,5,82,11,2,32,68,29,71,0.5690556234183415,0.037988067,-0.61047566,-0.12681639,0.021769509,-0.12894905,-0.8783903,0.06177169,0.10959154,-0.04884334,-0.031668812,3.695733347988586,4.266306446943635,3.6871185321940816
3567,8639725,350.0,535.7727272727273,1.0,1.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,16,49,24,11,30,70,45,55,0.1523822505339078,0.99560547,-0.7194315,0.7215763,0.18359798,0.5801463,0.1700013,-0.34136906,-0.07043786,0.22677797,0.36064786,3.5643957621844766,3.266262830445021,3.433779714712483
