rent,suburb_encoded,bedroom,bathroom,parking,propertyType_Apartment,propertyType_Block of Units,propertyType_Duplex,propertyType_House,propertyType_Semi-Detached,propertyType_Terrace,propertyType_Townhouse,propertyType_Villa,under 20,20-39,40-59,60+,Owner,Renter,Single,propertyFeatures_encoded,doc2vec_embedding_1,doc2vec_embedding_2,doc2vec_embedding_4,doc2vec_embedding_5,doc2vec_embedding_6,doc2vec_embedding_7,doc2vec_embedding_9,educationIndex,transportIndex,lifeIndex
720.0,551.2962962962963,4.0,2.0,2.0,0,0,0,1,0,0,0,0,29,26,24,21,70,30,39,0.3147023274789525,0.22781444,-0.18743122,-0.048056394,0.935697,0.6085615,-0.48491052,-0.26916817,3.3970483172821435,2.9277461533715545,3.6224959467034825
350.0,525.0,2.0,1.0,3.0,0,0,0,1,0,0,0,0,20,13,22,45,69,31,49,0.1553337336399029,-0.15615898,0.88908225,0.9832723,0.2946788,-0.38422742,-0.22769913,-0.333646,0.6545709460264328,2.2303384558046915,1.9596189047355623
400.0,525.0,2.0,1.0,4.0,0,0,0,1,0,0,0,0,20,13,22,45,69,31,49,0.3096171711512968,1.5355134,-0.30733645,0.65189713,-0.23653889,-0.1370518,-0.22755006,-0.96010315,1.3688433052138154,2.241780692896375,2.335151185903434
700.0,700.0,4.0,2.0,2.0,0,0,0,1,0,0,0,0,35,20,28,17,81,19,30,0.1553337336399029,-1.1899974,0.54440916,0.022622481,0.44360626,0.7610507,0.21225667,-0.64626956,1.933991724603329,2.989444848487416,3.5919588667768774
690.0,622.5637630528256,2.0,1.0,1.0,0,0,0,1,0,0,0,0,27,20,27,26,75,25,35,1.3748868966041596,-0.66419387,-0.45452154,0.575109,0.1942677,0.2690976,-0.47014222,-0.069345444,3.742476093784685,3.805102428097707,3.696689304677592
800.0,601.4533432783434,3.0,1.0,1.0,0,0,0,1,0,0,0,0,23,29,23,25,69,31,36,1.1448737913990188,0.11324501,-0.18131578,-0.35866037,0.2973854,0.6321515,-0.9516524,0.01778832,3.551303265827386,3.784422207548917,3.6554375945497566
130.0,670.5457047957049,4.0,2.0,1.0,0,0,0,1,0,0,0,0,24,40,24,12,60,40,49,0.2858560158665271,-0.94542575,0.3683746,-0.22712195,-0.021871015,-0.1728781,-0.12508824,-0.15912355,3.68425263561014,3.829252237003096,3.182890443289163
601.0202088452088,807.0067362817364,4.0,2.0,2.0,0,0,0,1,0,0,0,0,35,17,27,21,86,14,38,1.1782388124871872,-1.7162647,0.88940805,-0.14359239,0.94308823,1.2446029,-0.061183274,0.29033887,3.697845033625855,3.378543037197068,3.57360769994512
625.0,449.2692307692308,4.0,1.0,2.0,0,0,0,1,0,0,0,0,26,29,27,17,73,27,44,1.7738196146007936,0.21437633,0.87144965,-0.16562948,0.16376252,-0.3426413,-0.96367216,-0.1827798,3.5934400828637334,2.727705373113205,3.210254704110977
495.0,481.8421052631579,3.0,1.0,1.0,0,0,0,1,0,0,0,0,26,24,30,20,74,26,36,0.7835607525184614,0.69572556,1.0533519,-0.1628429,0.09972577,0.5537393,-0.8310667,0.5534101,3.582498119564063,2.710679471311104,3.187465753201141
601.0202088452088,631.047871488089,4.0,4.0,2.0,0,0,0,1,0,0,0,0,28,22,28,22,88,12,35,1.8223924569645735,-0.36696196,-0.1152854,-0.7823744,0.09035744,1.1658779,0.4681434,0.13043815,3.7466847402369177,3.522531030583419,3.606519018863839
440.0,469.26422151816894,4.0,2.0,2.0,0,0,0,1,0,0,0,0,30,38,23,9,86,14,34,1.8186603321170045,0.3505726,-0.11577666,-0.06646013,0.3177631,-0.020029157,-0.35181698,-0.0062946826,3.3926996295012186,2.766395971570152,2.7313671478923074
460.0,481.4285714285714,4.0,2.0,2.0,0,0,0,1,0,0,0,0,26,27,33,13,100,0,35,2.241785289611183,0.15463793,-0.048213005,0.21840666,0.5941654,0.7800003,-1.1417474,-0.6985451,3.376883874658895,2.7696139661491403,2.6811228739637416
450.0,436.6262630528256,4.0,2.0,2.0,0,0,0,1,0,0,0,0,30,38,23,9,86,14,34,2.429648923893128,-0.087794304,0.21111989,-0.42574957,0.68121797,-0.074008554,-1.190668,-0.12236555,3.194158614175024,3.2737769021015515,3.4325077113570712
650.0,591.1111111111111,3.0,2.0,2.0,0,0,0,1,0,0,0,0,24,25,33,18,68,32,49,0.1553337336399029,-0.6939416,-0.5033436,-0.30853525,-0.61383563,0.043917477,-0.68214285,-0.40941542,3.415621995536572,2.98947034603406,3.822325721397032
720.0,711.6671848421848,2.0,1.0,1.0,0,0,0,1,0,0,0,0,27,30,31,12,63,37,36,1.4392661285907258,-0.036876976,0.2651055,0.4072994,0.6092219,0.1165452,-0.042904824,0.6136887,3.6242072038055992,3.84420686561324,3.5919498496853066
530.0,434.5940728190728,4.0,2.0,2.0,0,0,0,1,0,0,0,0,28,30,26,17,74,26,39,1.6045033973958542,-0.22476447,0.3229071,-0.12192008,0.13088991,-0.22719233,-0.3304694,-0.02294594,3.420420144008784,2.792986514616443,2.792116798676594
900.0,711.6671848421848,3.0,2.0,1.0,0,0,0,1,0,0,0,0,18,40,25,18,29,71,55,0.957364322465002,0.20856154,0.29973674,0.25660202,0.5982057,0.083325624,0.36079815,0.17684677,3.618072004057104,3.812351300475967,3.778443772392542
650.0,653.7110581275056,2.0,1.0,1.0,0,0,0,1,0,0,0,0,17,46,25,11,40,60,55,1.1910588766677832,-0.40539694,-0.00019466877,0.33997068,0.52740794,0.5647708,-1.1771917e-05,0.05865723,3.571347744745468,3.817755059706053,3.6836530618762025
450.0,436.6262630528256,3.0,2.0,2.0,0,0,0,1,0,0,0,0,15,23,29,33,94,6,36,2.1342260080652062,0.6194285,-0.5797614,-0.2882873,0.34371328,0.23734745,-0.3723841,0.194145,3.446358912529644,2.75756845210752,2.7626286155475843
520.0,551.2962962962963,3.0,2.0,2.0,0,0,0,1,0,0,0,0,29,37,21,14,54,46,46,0.4420151085033543,0.93180454,0.18145597,0.23728976,0.47249264,0.54681087,-0.061035067,-0.19494781,3.387599172337536,2.9138925929704165,3.764187019641462
500.0,590.0,3.0,2.0,2.0,0,0,0,1,0,0,0,0,30,28,21,21,63,37,43,1.068207382256917,0.3244065,0.040875673,-0.50190425,0.8529671,1.011367,-0.09483507,-1.2705762,3.29319724575035,2.739816244788179,3.505683255344008
430.0,453.7916009310746,3.0,2.0,1.0,0,0,0,1,0,0,0,0,25,28,24,24,66,34,50,1.5092149908727928,0.57011247,-0.17619407,0.33840153,-0.02736698,-0.19492967,-0.06350595,0.5266044,3.640560420927704,2.91412710043065,3.7603419075977
530.0,476.6666666666667,3.0,2.0,1.0,0,0,0,1,0,0,0,0,25,30,21,24,62,38,60,1.4932048216484817,1.0177524,0.894012,-0.85216856,-0.67104197,-0.23020196,-0.14847717,-0.45453483,3.556115971564384,2.9637851378156608,3.515636615028741
450.0,673.0,3.0,1.0,2.0,0,0,0,1,0,0,0,0,23,22,23,32,84,16,42,0.5657366881390751,-0.14767873,1.1744791,-0.16629723,-0.7266748,-0.26129535,-0.08529863,-0.40949982,3.531348169034628,3.622767331096905,3.900105611386266
360.0,360.0,3.0,1.0,4.0,0,0,0,1,0,0,0,0,21,21,20,38,84,16,50,1.4469756690946365,-0.075083554,0.679981,0.04241486,0.198036,0.34210452,-0.03935969,0.24384657,1.440168027693517,3.4081726314637195,3.030402010301326
750.0,631.6900261056511,4.0,2.0,2.0,0,0,0,1,0,0,0,0,37,24,28,12,91,9,31,1.2700116073443062,1.259594,0.00955224,0.5789362,0.5219596,-0.9679102,-0.22529683,1.358511,3.6015458810575662,2.9226047772170665,3.912475479810988
500.0,496.3333333333333,4.0,2.0,1.0,0,0,0,1,0,0,0,0,25,30,25,21,59,41,47,0.587427145000285,-0.39051884,0.040509462,-0.4496784,-0.682482,-0.2700731,-0.19832042,-0.042469203,3.628832191168096,2.7825225738225137,3.353310151233388
360.0,434.5940728190728,2.0,1.0,1.0,0,0,0,1,0,0,0,0,25,33,23,19,57,43,55,1.0468719907943442,0.89773166,-0.86409867,-0.04854065,0.4469257,0.22384658,-0.13076583,0.37178493,3.6370692425430553,2.7932283010175025,2.867875207957378
290.0,434.5940728190728,1.0,1.0,1.0,0,0,0,1,0,0,0,0,25,29,27,19,53,47,53,0.9267961101988768,-0.11671901,-0.3897102,-0.22208777,0.00073696673,0.32394764,-0.15474996,0.6238421,3.577031816100189,2.7721972872370944,2.5647513690885164
370.0,434.5940728190728,3.0,1.0,1.0,0,0,0,1,0,0,0,0,25,29,27,19,53,47,53,1.0365364983080914,-0.011889577,-0.54088783,-0.22314376,0.36228025,-0.010467887,-0.23126122,0.492576,3.580958394639445,2.790204845855517,2.457134889585121
595.0,560.0,3.0,1.0,2.0,0,0,0,1,0,0,0,0,30,20,32,18,72,28,43,2.3135114010603672,-0.08616418,-0.022498727,-0.41391674,0.41196966,0.035986245,-0.21862087,0.6207456,1.883375012883216,2.786565242257025,3.493885563998908
480.0,504.3585863460863,4.0,2.0,2.0,0,0,0,1,0,0,0,0,30,37,25,8,82,18,33,0.9143495114620976,0.77566004,-0.45425928,0.07051666,0.45631444,0.37069818,-0.43067405,0.2747892,2.0574875051303656,2.900162990212893,3.6450245895320426
800.0,711.6671848421848,3.0,2.0,1.0,0,0,0,1,0,0,0,0,20,40,29,11,49,51,49,1.1698752319692376,-0.9545502,-0.33948982,-0.54428744,0.2805432,0.01359275,0.10126817,0.6627503,3.608886754865772,3.8357424976324417,3.68039368036485
460.0,481.4285714285714,4.0,2.0,2.0,0,0,0,1,0,0,0,0,26,27,33,13,100,0,35,1.405195888436431,-0.49247563,0.000284791,0.2646709,-0.6950949,0.28559807,-0.19966003,0.7667079,3.3556520191397974,2.755075395941382,2.756106607106917
790.0,520.3846153846154,4.0,3.0,2.0,0,0,0,1,0,0,0,0,32,30,24,14,72,28,34,2.193948463246822,-0.62791526,-1.3163251,-0.29350892,-0.6824844,-0.022728652,0.3482714,-0.2446294,3.2827569803411385,2.7459909809077825,3.4739584201764995
460.0,434.5940728190728,4.0,2.0,2.0,0,0,0,1,0,0,0,0,29,39,23,9,58,42,41,1.316419279303812,-0.5044003,-0.68832886,0.0056022108,0.06698762,0.32368,0.091502905,0.1580168,3.4014058737031174,2.9701412334456907,2.81391821515992
450.0,503.8888888888889,3.0,1.0,4.0,0,0,0,1,0,0,0,0,12,9,23,56,74,26,44,2.4732065166202744,0.58000124,-0.07064986,0.42414755,0.313443,0.022387534,0.24248855,-0.35030544,1.3894859219707734,2.5458471565595864,3.478318253335725
601.0202088452088,650.6546234171235,5.0,2.0,1.0,0,0,0,1,0,0,0,0,22,29,27,22,59,41,53,2.9620673652857654,0.68682706,-0.39064455,0.12646985,0.35232198,0.34209183,0.90417767,-0.17652205,3.642624720939294,4.49585851007761,3.832169880847612
520.0,474.1562176988901,4.0,2.0,2.0,0,0,0,1,0,0,0,0,36,25,32,7,91,9,21,1.93177948548376,0.90514433,-0.72490585,0.012585223,0.73807746,0.31631038,-0.31434003,0.14794967,1.161758186838036,2.875301623571608,3.692645066364067
420.0,415.38461538461536,3.0,1.0,3.0,0,0,0,1,0,0,0,0,23,27,21,29,68,32,58,1.0913369107451287,0.6248958,0.81858706,-0.00083583593,-0.62538743,0.18647602,0.37541863,0.92566687,3.5182086837732447,2.7965581178360392,3.261798351095865
700.0,474.1562176988901,4.0,2.0,2.0,0,0,0,1,0,0,0,0,36,25,32,7,91,9,21,1.7905706249607476,0.84036994,-0.7808629,0.08561011,0.619394,0.5210874,-0.2895625,0.20732775,1.179876033525456,2.880172727892788,3.509412119695975
550.0,648.3010104422605,3.0,1.0,1.0,0,0,0,1,0,0,0,0,13,46,24,17,39,61,52,0.4247630486084285,0.3708552,-0.26210833,-0.29729852,0.04452668,0.041836858,-0.14099082,-0.32319248,3.643663348267964,3.1349603588013384,3.736769707315879
700.0,648.875,3.0,1.0,1.0,0,0,0,1,0,0,0,0,27,28,28,18,77,23,44,1.0989432530209902,-0.7231964,-0.11865282,-0.21316689,-1.5080739,-0.09790376,0.6694622,0.3431909,3.571943407717747,3.8261231459736496,3.564060931894354
117.0,632.2962962962963,5.0,2.0,3.0,0,0,0,1,0,0,0,0,19,31,23,26,52,48,51,2.804364001000697,0.26061916,1.8326793,-0.7895918,1.05484,-0.012901723,0.8943604,0.035625607,3.7231957696816913,3.838675812842588,3.708749301798231
